B;C;D;E;F;G;H;I;J;K;L;M;N
TIME DAYY;DATE;MONTH;YEAR;DAY;DISTRICT;TYPES_OF_CAUSES;ALERT LEVEL;AMOUNT_DAMAGE;TEMPERATURE;TYPE_OF_ESTABLIHMENT;LATITUDE;LONGITUDE
12PM;40936;JANUARY;2012;Thursday;Sampaloc;Under Investigation;2nd Alarm;50,000.00;27;Residential;;
4AM;40938;JANUARY;2012;Thursday;Tondo;Electrical connection;1st Alarm;1,000.00;28;Residential;;
6AM;40938;JANUARY;2012;Thursday;Sampaloc;Under Investigation;3rd Alarm;100,000.00;28;;;
12PM;40939;JANUARY;2012;Thursday;Santa Ana;Chimney Fire;1st Alarm;1,000.00;27;Residential;;
1PM;40939;JANUARY;2012;Thursday;Santa Cruz;Electrical connection;1st Alarm;200.00;27;Residential;;
5AM;40940;FEBRUARY;2012;Wednesday;Quiapo;Under Investigation;3rd Alarm;500,000.00;27;Residential;14.600742;120.984634
11PM;40940;FEBRUARY;2012;Wednesday;Santa Cruz;Candle;3rd Alarm;500,000.00;27;Residential;14.630601;120.981429
10PM;40941;FEBRUARY;2012;Thursday;Ermita;Open flame;1st Alarm;5,000.00;27;Commercial;14.578103;120.983375
1AM;40942;FEBRUARY;2012;Friday;Sampaloc;Christmas light;1st Alarm;200.00;27;Residential;14.607996;120.991229
9AM;40942;FEBRUARY;2012;Friday;Malate;Under Investigation;1st Alarm;200.00;27;;14.565137;120.988525
10AM;40942;FEBRUARY;2012;Friday;Tondo;Electrical connection;1st Alarm;200.00;27;Vehicle;14.637392;120.964322
7PM;40942;FEBRUARY;2012;Friday;Tondo;Electrical connection;1st Alarm;200.00;27;Vehicle;14.664857;120.998241
11AM;40943;FEBRUARY;2012;Saturday;Santa Ana;Electrical connection;1st Alarm;200.00;25;Electrical;14.57763;121.012487
12AM;40944;FEBRUARY;2012;Sunday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;27;Residential;14.625829;120.968271
12PM;40944;FEBRUARY;2012;Sunday;Santa Cruz;Electrical connection;1st Alarm;200.00;27;Electrical;14.608792;120.981252
10PM;40947;FEBRUARY;2012;Wednesday;Pandacan;Electrical connection;1st Alarm;200.00;27;Electrical;14.58466;120.999809
6PM;40948;FEBRUARY;2012;Thursday;Santa Ana;Under Investigation;2nd Alarm;200,000.00;28;Residential;14.592562;121.012027
8AM;40949;FEBRUARY;2012;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;27;Electrical;14.630601;120.981429
8PM;40950;FEBRUARY;2012;Saturday;Santa Ana;Electrical connection;1st Alarm;200.00;28;Electrical;14.582756;121.011469
9PM;40951;FEBRUARY;2012;Sunday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.618235;120.963662
5PM;40952;FEBRUARY;2012;Monday;Santa Cruz;Other;1st Alarm;200.00;26;Grass fire;14.630601;120.981429
6PM;40952;FEBRUARY;2012;Monday;Port Area;Electrical connection;1st Alarm;500.00;26;Electrical;14.588726;120.968597
7PM;40952;FEBRUARY;2012;Monday;Tondo;Electrical connection;1st Alarm;1,000.00;26;Electrical;14.605326;120.963174
3PM;40953;FEBRUARY;2012;Tuesday;Intramuros;Electrical connection;1st Alarm;200.00;28;Electrical;14.590469;120.978085
6PM;40954;FEBRUARY;2012;Wednesday;Sampaloc;Open flame;1st Alarm;200.00;28;Rubbish;14.60704;120.987582
1PM;40955;FEBRUARY;2012;Thursday;Santa Ana;Electrical connection;1st Alarm;200.00;26;Electrical;14.574978;121.004853
1PM;40955;FEBRUARY;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.610556;120.998333
4PM;40955;FEBRUARY;2012;Thursday;Santa Ana;Electrical connection;1st Alarm;200.00;26;Electrical;14.576313;121.008768
5AM;40957;FEBRUARY;2012;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.571532;121.019737
10AM;40957;FEBRUARY;2012;Saturday;Santa Ana;Alcohol Lamp Fire;4th Alarm;500,000.00;25;Residential;14.589611;121.002998
8PM;40957;FEBRUARY;2012;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Residential;14.605771;120.997482
10AM;40958;FEBRUARY;2012;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.563192;121.044785
12PM;40958;FEBRUARY;2012;Sunday;Santa Cruz;Open flame;1st Alarm;200.00;29;Rubbish;14.601957;120.981749
12PM;40959;FEBRUARY;2012;Monday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;24;Residential;14.596663;121.02152
9PM;40959;FEBRUARY;2012;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;24;Electrical;14.610556;120.998333
11AM;40960;FEBRUARY;2012;Tuesday;Binondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.673598;120.983012
3PM;40960;FEBRUARY;2012;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.599127;121.011856
1AM;40964;FEBRUARY;2012;Saturday;Sampaloc;Open flame;1st Alarm;200.00;28;Rubbish;14.612262;120.99557
4AM;40964;FEBRUARY;2012;Saturday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;3rd Alarm;500,000.00;28;Residential;14.620565;120.965967
8AM;40964;FEBRUARY;2012;Saturday;Intramuros;Matress Fire;1st Alarm;200.00;28;Residential;14.590057;120.975518
2PM;40964;FEBRUARY;2012;Saturday;Santa Cruz;Electrical connection;3rd Alarm;100,000.00;28;ReCom;14.617279;120.983957
6PM;40964;FEBRUARY;2012;Saturday;Paco;Electrical connection;1st Alarm;200,00;28;Electrical;14.577563;121.000218
12PM;40967;FEBRUARY;2012;Tuesday;Tondo;Under Investigation;4th Alarm;500,000.00;29;Residential;14.620565;120.965967
7PM;40968;FEBRUARY;2012;Wednesday;Santa Cruz;Open flame;1st Alarm;1,000.00;30;Rubbish;14.618536;120.984767
5PM;40969;MARCH;2012;Thursday;Ermita;Candle;1st Alarm;200.00;28;Residential;14.576489;120.988073
12PM;40973;MARCH;2012;Monday;Tondo;Cigarette Butt;1st Alarm;200.00;29;Rubbish;14.616111;120.956667
2PM;40973;MARCH;2012;Monday;Sampaloc;Under Investigation;2nd Alarm;8,000.00;29;unclear;14.597433;121.009765
9PM;40973;MARCH;2012;Monday;Malate;Cigarette Butt;1st Alarm;200.00;29;Rubbish;14.573253;121.005663
9AM;40974;MARCH;2012;Tuesday;Santa Ana;Electrical connection;1st Alarm;200.00;29;Electrical;14.584252;121.015097
2PM;40974;MARCH;2012;Tuesday;Tondo;Cigarette Butt;1st Alarm;200.00;29;Grass fire;14.620565;120.965967
11AM;40975;MARCH;2012;Wednesday;Quiapo;Candle;1st Alarm;200.00;29;Residential;14.60349;120.983545
11PM;40977;MARCH;2012;Friday;Intramuros;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;10,000.00;29;unclear;14.592273;120.978052
3AM;40978;MARCH;2012;Saturday;Pandacan;Electrical connection;1st Alarm;200.00;28;Electrical;14.590018;121.00315
11AM;40978;MARCH;2012;Saturday;Pandacan;Candle;1st Alarm;200.00;28;Residential;14.589611;121.002998
2PM;40978;MARCH;2012;Saturday;Sampaloc;Open flame;2nd Alarm;1,000.00;28;Residential;14.600326;121.011271
10AM;40979;MARCH;2012;Sunday;Pandacan;Electrical connection;1st Alarm;200.00;28;Electrical;14.592416;121.012839
9AM;40981;MARCH;2012;Tuesday;Binondo;Electrical connection;1st Alarm;500.00;27;Vehicle;14.663578;120.968212
10AM;40981;MARCH;2012;Tuesday;Binondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.598465;120.969477
11AM;40982;MARCH;2012;Wednesday;Santa Ana;Open flame;1st Alarm;200.00;27;Residential;14.568786;120.985242
3PM;40982;MARCH;2012;Wednesday;Tondo;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.615966;120.96253
7PM;40982;MARCH;2012;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;27;Electrical;14.575986;120.982819
7PM;40982;MARCH;2012;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;27;Electrical;14.576489;120.988073
6AM;40983;MARCH;2012;Thursday;Quiapo;Electrical connection;1st Alarm;200.00;28;Electrical;14.59722;120.989767
7PM;40983;MARCH;2012;Thursday;Tondo;Cigarette Butt;1st Alarm;200.00;28;Rubbish;14.610008;120.966872
3AM;40984;MARCH;2012;Friday;Tondo;Candle;4th Alarm;1,000,000.00;28;Residential;14.621111;120.976494
10AM;40984;MARCH;2012;Friday;Sampaloc;Under Investigation;4th Alarm;750,000.00;28;Residential;14.610556;120.998333
11AM;40984;MARCH;2012;Friday;Paco;Electrical connection;1st Alarm;200.00;28;Electrical;14.578578;121.002508
1PM;40984;MARCH;2012;Friday;Santa Cruz;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;28;Residential;14.618198;120.985608
7PM;40984;MARCH;2012;Friday;Intramuros;Electrical connection;1st Alarm;200.00;28;Vehicle;14.592182;120.972261
10PM;40984;MARCH;2012;Friday;Pandacan;Electrical connection;1st Alarm;200.00;28;Electrical;14.602353;121.016754
6AM;40985;MARCH;2012;Saturday;Santa Cruz;Air-conditioned Fire/Air-cooler/Fan;2nd Alarm;100,000.00;28;unclear;14.599;120.9804
11AM;40985;MARCH;2012;Saturday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.571561;121.026028
11AM;40986;MARCH;2012;Sunday;Sampaloc;Open flame;1st Alarm;200.00;28;Rubbish;14.610556;120.998333
1PM;40987;MARCH;2012;Monday;Pandacan;Cigarette Butt;1st Alarm;200.00;28;Rubbish;14.59136;121.012182
11AM;40988;MARCH;2012;Tuesday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Residential;14.616657;120.982741
5AM;40989;MARCH;2012;Wednesday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;29;Rubbish;14.618575;120.987386
10AM;40990;MARCH;2012;Thursday;Malate;Under Investigation;4th Alarm;1,000,000.00;26;ReCom;14.565255;120.984676
5PM;40990;MARCH;2012;Thursday;Santa Cruz;Electrical connection;1st Alarm;200.00;26;Electrical;14.613188;120.981524
5PM;40990;MARCH;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.606796;120.987317
3PM;40991;MARCH;2012;Friday;Ermita;Electrical connection;1st Alarm;200.00;28;Electrical;14.586074;120.982515
4PM;40991;MARCH;2012;Friday;Tondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;1,000.00;28;Commercial;14.606536;120.970975
10PM;40993;MARCH;2012;Sunday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;27;Residential;14.608441;120.964657
2PM;40994;MARCH;2012;Monday;Tondo;Candle;1st Alarm;1,000.00;27;Residential;14.613588;120.978818
7PM;40996;MARCH;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.600837;120.992603
7PM;40997;MARCH;2012;Thursday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.617291;120.973926
8PM;40997;MARCH;2012;Thursday;Santa Cruz;Electrical connection;1st Alarm;200.00;25;Electrical;14.613062;120.983469
7PM;40998;MARCH;2012;Friday;Malate;Electrical connection;1st Alarm;200.00;27;Electrical;14.570978;120.981952
1PM;40999;MARCH;2012;Saturday;Sampaloc;Electrical connection;1st Alarm;500.00;26;Residential;14.607304;121.002361
1AM;41000;APRIL;2012;Sunday;Sampaloc;Under Investigation;3rd Alarm;3,000,000.00;29;Commercial;14.610556;120.998333
2PM;41000;APRIL;2012;Sunday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;2nd Alarm;50,000.00;29;ReCom;14.602908;120.99083
11AM;41001;APRIL;2012;Monday;Tondo;Under Investigation;5th Alarm;1,000,000.00;29;Residential;14.605949;120.9777
9PM;41001;APRIL;2012;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;29;Electrical;14.584496;121.006359
11PM;41002;APRIL;2012;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;29;unclear;14.609816;120.996393
3PM;41006;APRIL;2012;Saturday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;30;Rubbish;14.601957;120.981749
8PM;41006;APRIL;2012;Saturday;Santa Cruz;Electrical connection;1st Alarm;200.00;30;Electrical;14.620565;120.965967
9AM;41007;APRIL;2012;Sunday;Tondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;30;Residential;14.616429;120.967833
8PM;41007;APRIL;2012;Sunday;Tondo;Candle;1st Alarm;200.00;30;Residential;14.601192;120.975007
10AM;41008;APRIL;2012;Monday;Binondo;Electrical connection;1st Alarm;500.00;30;Commercial;14.611111;120.964722
1PM;41008;APRIL;2012;Monday;Tondo;Cigarette Butt;1st Alarm;200.00;30;Rubbish;14.620565;120.965967
7AM;41009;APRIL;2012;Tuesday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;30;Residential;14.63791;120.980228
7PM;41009;APRIL;2012;Tuesday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;30;Residential;14.618459;120.96482
2AM;41010;APRIL;2012;Wednesday;Tondo;Chimney Fire;1st Alarm;200.00;30;Residential;14.620565;120.965967
8PM;41010;APRIL;2012;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;30;Electrical;14.625399;120.962921
2PM;41011;APRIL;2012;Thursday;Tondo;Spontaneous combustion;2nd Alarm;50,000.00;31;Commercial;14.606179;121.003729
11AM;41011;APRIL;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;31;Electrical;14.582756;121.011469
5PM;41011;APRIL;2012;Thursday;Santa Ana;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;31;Residential;14.601989;120.997777
5PM;41011;APRIL;2012;Thursday;Sampaloc;Welding;1st Alarm;5,000.00;31;Residential;14.599512;120.98422
10AM;41012;APRIL;2012;Friday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;31;Residential;14.590365;121.008691
6AM;41013;APRIL;2012;Saturday;Santa Ana;Under Investigation;4th Alarm;500,000.00;30;Residential;14.578578;121.002508
11AM;41013;APRIL;2012;Saturday;Paco;Cigarette Butt;1st Alarm;200.00;30;Rubbish;14.603122;120.991784
4PM;41013;APRIL;2012;Saturday;Malate;Electrical connection;1st Alarm;200.00;30;Electrical;14.630601;120.981429
10AM;41014;APRIL;2012;Sunday;Tondo;Electrical connection;1st Alarm;200.00;30;Electrical;14.618401;120.984291
1PM;41014;APRIL;2012;Sunday;Santa Cruz;Under Investigation;3rd Alarm;500,000.00;30;Residential;14.629806;120.977889
9AM;41015;APRIL;2012;Monday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;30;Residential;14.588814;120.996751
5PM;41015;APRIL;2012;Monday;Paco;Candle;1st Alarm;200.00;30;Residential;14.597395;120.997818
9PM;41015;APRIL;2012;Monday;San Miguel;Alcohol Lamp Fire;1st Alarm;1,000.00;30;Residential;14.626376;120.995811
10PM;41015;APRIL;2012;Monday;Tondo;Electrical connection;1st Alarm;200.00;30;Electrical;14.571527;120.988045
8AM;41016;APRIL;2012;Tuesday;Ermita;Under Investigation;5th Alarm;1,500,000.00;30;Residential;14.598833;120.990207
5PM;41016;APRIL;2012;Tuesday;Quiapo;LPG Leak, Gas, Keresone, Charcoal Stove;3rd Alarm;300,000.00;30;ReCom;14.576489;120.988073
6PM;41016;APRIL;2012;Tuesday;Ermita;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;30;Residential;14.576489;120.988073
6PM;41016;APRIL;2012;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;30;Electrical;14.63293;120.969165
10PM;41016;APRIL;2012;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;30;Electrical;14.60058;120.98184
1PM;41017;APRIL;2012;Wednesday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;30;Rubbish;14.596652;121.021237
2PM;41017;APRIL;2012;Wednesday;Sampaloc;Cigarette Butt;1st Alarm;200.00;30;Rubbish;14.600677;120.98596
6PM;41017;APRIL;2012;Wednesday;Quiapo;Electrical connection;1st Alarm;200.00;30;Electrical;14.47261;121.025605
6PM;41017;APRIL;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.576313;121.008768
1PM;41018;APRIL;2012;Thursday;Santa Ana;Cigarette Butt;1st Alarm;200.00;29;Grass fire;14.611013;120.990007
4PM;41018;APRIL;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;29;unclear;14.627197;120.960574
9PM;41018;APRIL;2012;Thursday;Tondo;Electrical connection;1st Alarm;5,000.00;29;Vehicle;14.589611;121.002998
4PM;41020;APRIL;2012;Saturday;Pandacan;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;200.00;31;Residential;14.581656;120.997245
11AM;41021;APRIL;2012;Sunday;Paco;Electrical connection;1st Alarm;200.00;29;Electrical;14.634842;120.963131
8PM;41021;APRIL;2012;Sunday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.585454;120.993855
9AM;41022;APRIL;2012;Monday;Paco;Electrical connection;1st Alarm;200.00;31;Electrical;14.537555;121.065162
9PM;41022;APRIL;2012;Monday;Malate;Electrical connection;1st Alarm;200.00;31;Electrical;14.569749;120.997001
9AM;41023;APRIL;2012;Tuesday;Malate;Electrical connection;1st Alarm;200.00;33;Electrical;14.599127;121.011856
11PM;41024;APRIL;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;32;Electrical;14.626693;120.9762
9AM;41024;APRIL;2012;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;32;Electrical;14.589567;121.01886
1PM;41024;APRIL;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;32;Electrical;14.579232;121.030003
10AM;41025;APRIL;2012;Thursday;Paco;Electrical connection;1st Alarm;200.00;32;Electrical;14.589771;120.981456
6PM;41025;APRIL;2012;Thursday;Santa Ana;Electrical connection;1st Alarm;200.00;32;Electrical;14.610556;120.998333
8PM;41025;APRIL;2012;Thursday;Sampaloc;Chimney Fire;1st Alarm;200.00;32;Residential;14.594048;121.002867
8AM;41026;APRIL;2012;Friday;Pandacan;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;32;Residential;14.579229;120.981818
5PM;41026;APRIL;2012;Friday;Santa Ana;Cigarette Butt;1st Alarm;200.00;32;Rubbish;14.616111;120.956667
8PM;41026;APRIL;2012;Friday;Tondo;Spontaneous combustion;1st Alarm;5,000.00;32;Vehicle;14.599;120.9804
6PM;41028;APRIL;2012;Sunday;Santa Cruz;Electrical connection;1st Alarm;200.00;32;Electrical;14.601186;120.989039
8AM;41029;APRIL;2012;Monday;Quiapo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;32;ReCom;14.613735;120.990604
3PM;41029;APRIL;2012;Monday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;1,000.00;32;Residential;14.598898;120.975402
12PM;41030;MAY;2012;Tuesday;Binondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;29;Residential;14.581079;121.001608
3PM;41031;MAY;2012;Wednesday;Santa Ana;Electrical connection;1st Alarm;200.00;29;Electrical;14.609166;120.976202
8PM;41032;MAY;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.472234;121.027931
10PM;41032;MAY;2012;Thursday;Santa Ana;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;200.00;30;Residential;14.604682;120.978195
1AM;41034;MAY;2012;Saturday;Santa Cruz;Under Investigation;4th Alarm;1,000,000.00;29;ReCom;14.574591;121.009241
2AM;41034;MAY;2012;Saturday;Malate;Electrical connection;1st Alarm;200.00;29;Electrical;14.565232;120.999506
1PM;41034;MAY;2012;Saturday;Malate;Under Investigation;3rd Alarm;300,000.00;29;unclear;14.59106;121.039849
8PM;41035;MAY;2012;Sunday;Santa Ana;Electrical connection;1st Alarm;200.00;29;Electrical;14.582016;120.982882
6PM;41036;MAY;2012;Monday;Ermita;Electrical connection;1st Alarm;200.00;29;Electrical;14.593944;121.028445
9PM;41036;MAY;2012;Monday;Paco;Electrical connection;1st Alarm;200.00;29;Residential;14.620565;120.965967
10PM;41036;MAY;2012;Monday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.631273;120.977516
8PM;41037;MAY;2012;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;30;Electrical;14.599;120.9804
3AM;41038;MAY;2012;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;31;Electrical;14.594518;120.979364
6PM;41038;MAY;2012;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;31;Electrical;14.601494;121.019203
6PM;41039;MAY;2012;Thursday;Santa Cruz;Electrical connection;1st Alarm;200.00;30;Electrical;14.576313;121.008768
7PM;41039;MAY;2012;Thursday;Santa Ana;Alcohol Lamp Fire;3rd Alarm;50.000.00;30;Residential;14.597632;121.017609
3PM;41040;MAY;2012;Friday;Sampaloc;Under Investigation;3rd Alarm;200.000.00;31;Residential;14.626066;120.970658
4PM;41040;MAY;2012;Friday;Tondo;Under Investigation;Task Force Bravo;3.000.000.00;31;Residential;14.620565;120.965967
2PM;41041;MAY;2012;Saturday;Tondo;Cigarette Butt;1st Alarm;200.00;30;Grass fire;14.626774;120.97321
8PM;41041;MAY;2012;Saturday;Tondo;Electrical connection;1st Alarm;200.00;30;Electrical;14.610556;120.998333
10PM;41044;MAY;2012;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.620565;120.965967
1AM;41045;MAY;2012;Wednesday;Tondo;Cigarette Butt;1st Alarm;200.00;30;Rubbish;14.59204;121.037723
1PM;41045;MAY;2012;Wednesday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;30;Residential;14.60785;120.995234
1PM;41047;MAY;2012;Friday;Sampaloc;Open flame;1st Alarm;200.00;30;Rubbish;14.605937;120.993212
7PM;41047;MAY;2012;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.589611;121.002998
7PM;41047;MAY;2012;Friday;Pandacan;Electrical connection;1st Alarm;200.00;30;Electrical;14.626196;120.966364
3PM;41049;MAY;2012;Sunday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.580842;121.004756
8PM;41049;MAY;2012;Sunday;Pandacan;Electrical connection;1st Alarm;200.00;29;Electrical;14.590645;121.010412
9PM;41050;MAY;2012;Monday;Pandacan;Electrical connection;1st Alarm;200.0;29;Electrical;14.596955;121.01071
1PM;41051;MAY;2012;Tuesday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;30;unclear;14.60704;120.987582
6PM;41051;MAY;2012;Tuesday;Sampaloc;Under Investigation;1st Alarm;200.00;30;Electrical;14.604384;120.974403
1PM;41053;MAY;2012;Thursday;Binondo;Under Investigation;2nd Alarm;50.000.00;29;Commercial;14.589611;121.002998
8AM;41054;MAY;2012;Friday;Pandacan;Under Investigation;2nd Alarm;100.000.00;30;Residential;14.575833;120.969167
7PM;41054;MAY;2012;Friday;Port Area;Electrical connection;1st Alarm;200.00;30;Vehicle;14.589611;121.002998
3PM;41055;MAY;2012;Saturday;Pandacan;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;5.000.00;30;Residential;14.592727;120.971996
12AM;41056;MAY;2012;Sunday;Santa Ana;Electrical connection;1st Alarm;3.000.00;30;Vehicle;14.620565;120.965967
12PM;41056;MAY;2012;Sunday;Tondo;Open flame;1st Alarm;200.00;30;;14.589611;121.002998
1PM;41056;MAY;2012;Sunday;Pandacan;Electrical connection;1st Alarm;200.00;30;Electrical;14.601626;120.988368
12PM;41057;MAY;2012;Monday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;30;Residential;14.589567;121.01886
2PM;41057;MAY;2012;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.604084;121.01714
4PM;41057;MAY;2012;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.617279;120.983957
7PM;41057;MAY;2012;Monday;Santa Cruz;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;30;Residential;14.627197;120.960574
7PM;41058;MAY;2012;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.607352;120.978535
11AM;41059;MAY;2012;Wednesday;Tondo;Under Investigation;2nd Alarm;20.000.00;28;ReCom;14.599512;120.98422
7PM;41059;MAY;2012;Wednesday;Pandacan;Electrical connection;1st Alarm;200.00;28;Electrical;14.606363;120.964111
10PM;41059;MAY;2012;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.613779;121.003813
4PM;41060;MAY;2012;Thursday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.612198;120.996818
8PM;41060;MAY;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Residential;14.604384;120.974403
10AM;41064;JUNE;2012;Monday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.611086;120.962128
4PM;41064;JUNE;2012;Monday;Tondo;Electrical connection;1st Alarm;200.00;29;Residential;14.620565;120.965967
10AM;41065;JUNE;2012;Tuesday;Tondo;Electrical connection;1st Alarm;300,000.00;30;Vehicle;14.620565;120.965967
11AM;41065;JUNE;2012;Tuesday;Pandacan;Under Investigation;3rd Alarm;20,000.00;30;Residential;14.587406;121.002537
7PM;41065;JUNE;2012;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;30;Electrical;14.599512;120.98422
10PM;41065;JUNE;2012;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;30;Electrical;14.576313;121.008768
11AM;41066;JUNE;2012;Wednesday;San Miguel;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200,00;30;Residential;14.490449;121.058785
8AM;41067;JUNE;2012;Thursday;Sampaloc;Cigarette Butt;1st Alarm;200.00;29;Rubbish;14.60457;121.009435
6PM;41067;JUNE;2012;Thursday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.620565;120.965967
9PM;41067;JUNE;2012;Thursday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.631273;120.977516
4PM;41068;JUNE;2012;Friday;Ermita;Electrical connection;1st Alarm;20,000.00;29;Vehicle;14.589404;120.981644
1AM;41069;JUNE;2012;Saturday;San Miguel;Under Investigation;4th Alarm;1,000,000.00;30;Commercial;14.593112;120.986498
4PM;41069;JUNE;2012;Saturday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;30;Residential;14.610556;120.998333
9PM;41069;JUNE;2012;Saturday;Santa Ana;Electrical connection;1st Alarm;200.00;30;Electrical;14.472234;121.027931
1PM;41071;JUNE;2012;Monday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;30;Residential;14.618235;120.963662
8PM;41072;JUNE;2012;Tuesday;Pandacan;Electrical connection;1st Alarm;200.00;29;Electrical;14.59136;121.012182
8PM;41073;JUNE;2012;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.620565;120.965967
10AM;41074;JUNE;2012;Thursday;Santa Cruz;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;20,000.00;28;ReCom;14.613574;120.98491
5PM;41077;JUNE;2012;Sunday;Malate;Under Investigation;2nd Alarm;50,000.00;27;Residential;14.572734;120.993738
8PM;41077;JUNE;2012;Sunday;Tondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;27;Residential;14.620565;120.965967
