date,cause,temp,district
10PM 20-May-11,Cigarette Butt,29.5,Pandacan
10PM 20-May-11,Electrical connection,29.5,Santa Cruz
12AM 21-May-11,Electrical connection,29.5,Tondo
6PM 21-May-11,Electrical connection,29.5,Sampaloc
7PM 21-May-11,Electrical connection,29.5,Tondo
6PM 22-May-11,"LPG Leak, Gas, Keresone, Charcoal Stove",29,Paco
10PM 22-May-11,Alcohol Lamp Fire,29,Tondo
4PM 25-May-11,Electrical connection,28.25,Tondo
9AM 26-May-11,"LPG Leak, Gas, Keresone, Charcoal Stove",28.5,Malate
7PM 26-May-11,Electrical connection,28.5,Binondo
9AM 27-May-11,Electrical connection,28.5,Santa Cruz
9AM 28-May-11,Electrical connection,26.25,Tondo
1AM 29-May-11,Under Investigation,27.25,Quiapo
5PM 29-May-11,Electrical connection,27.25,Santa Cruz
5PM 29-May-11,Under Investigation,27.25,Santa Ana
8PM 29-May-11,Electrical connection,27.25,Tondo
7PM 30-May-11,Under Investigation,27.5,Sampaloc
10PM 30-May-11,Electrical connection,27.5,Sampaloc
2PM 31-May-11,Electrical connection,31,Binondo
9PM 31-May-11,Electrical connection,31,Sampaloc
3AM 1-Jun-11,Electrical connection,30.25,Sampaloc
5AM 1-Jun-11,Electrical connection,30.25,Sampaloc
8AM 1-Jun-11,Electrical connection,30.25,Santa Cruz
10AM 2-Jun-11,Electrical connection,30.25,Santa Cruz
12PM 2-Jun-11,Under Investigation,30.25,Pandacan
11PM 2-Jun-11,Air-conditioned Fire/Air-cooler/Fan,30.25,Malate
11AM 4-Jun-11,Electrical connection,29.5,Sampaloc
7PM 5-Jun-11,Electrical connection,31.25,Santa Cruz
2PM 6-Jun-11,Electrical connection,30,Port Area
7PM 7-Jun-11,Electrical connection,30,Paco
10PM 7-Jun-11,Electrical connection,30,Ermita
1PM 8-Jun-11,Electrical connection,26.25,Tondo
8PM 8-Jun-11,Electrical connection,26.25,Tondo
12AM 9-Jun-11,Electrical connection,25.5,Ermita
3AM 9-Jun-11,Under Investigation,25.5,Ermita
10AM 9-Jun-11,Electrical connection,25.5,Pandacan
9AM 9-Jun-11,Electrical connection,25.5,Tondo
